Company,Ticker,Price,Beta
BEL FUSE INC. (XNAS:BELFB),BELFB,$148.93 ,1.27
"FRANKLIN RESOURCES, INC. (XNYS:BEN)",BEN,$24.74 ,1.55
BROOKFIELD RENEWABLE CORPORATION (XNYS:BEPC),BEPC,$34.18 ,1.19
BFA,BFA,#FIELD!,#FIELD!
BRIGHT HORIZONS FAMILY SOLUTIONS INC. (XNYS:BFAM),BFAM,$113.99 ,1.36
BFB,BFB,#FIELD!,#FIELD!
BANK FIRST CORPORATION (XNAS:BFC),BFC,$127.88 ,0.41
"BREAD FINANCIAL HOLDINGS, INC. (XNYS:BFH)",BFH,$64.07 ,1.45
"SAUL CENTERS, INC. (XNYS:BFS)",BFS,$32.36 ,1.19
"BUSINESS FIRST BANCSHARES, INC. (XNAS:BFST)",BFST,$24.78 ,0.87
Bunge Global Ltd (XNYS:BG),BG,$81.38 ,0.66
"BGC GROUP, INC. (XNAS:BGC)",BGC,$10.24 ,1.21
"B&G FOODS, INC. (XNYS:BGS)",BGS,$4.55 ,0.47
BAR HARBOR BANKSHARES (XNYS:BHB),BHB,$32.39 ,0.71
"BENCHMARK ELECTRONICS, INC. (XNYS:BHE)",BHE,$39.94 ,1.08
"Brighthouse Financial, Inc. (XNAS:BHF)",BHF,$49.14 ,0.84
BRAEMAR HOTELS & RESORTS INC. (XNYS:BHR),BHR,$2.99 ,1.3
Burke & Herbert Financial Services Corp. (XNAS:BHRB),BHRB,$62.28 ,1.13
Biohaven Ltd. (XNYS:BHVN),BHVN,$13.81 ,1.55
BIOGEN INC. (XNAS:BIIB),BIIB,$145.06 ,0.11
